10,9,
1,1 - 0,10
2,1/2 - 1/2,9
3,1 - 0,8
4,1/2 - 1/2,7
5,1 - 0,6
10,0 - 1,6
7,1/2 - 1/2,5
8,1/2 - 1/2,4
9,1 - 0,3
1,0 - 1,2
2,1/2 - 1/2,10
3,1/2 - 1/2,1
4,1/2 - 1/2,9
5,1/2 - 1/2,8
6,1/2 - 1/2,7
10,1 - 0,7
8,1/2 - 1/2,6
9,0 - 1,5
1,1/2 - 1/2,4
2,1/2 - 1/2,3
3,1/2 - 1/2,10
4,1 - 0,2
5,1/2 - 1/2,1
6,0 - 1,9
7,1/2 - 1/2,8
10,1/2 - 1/2,8
9,1/2 - 1/2,7
1,1 - 0,6
2,1/2 - 1/2,5
3,1/2 - 1/2,4
4,1 - 0,10
5,1/2 - 1/2,3
6,1/2 - 1/2,2
7,0 - 1,1
8,1/2 - 1/2,9
10,1/2 - 1/2,9
1,1/2 - 1/2,8
2,1/2 - 1/2,7
3,1 - 0,6
4,1/2 - 1/2,5
5,1 - 0,10
6,1/2 - 1/2,4
7,1/2 - 1/2,3
8,1 - 0,2
9,1 - 0,1
