10,9,
2,1 - 0,6
10,1/2 - 1/2,3
8,1/2 - 1/2,1
7,1 - 0,9
4,1/2 - 1/2,5
4,1/2 - 1/2,2
5,1/2 - 1/2,7
9,1/2 - 1/2,8
1,1/2 - 1/2,10
3,1 - 0,6
2,1/2 - 1/2,3
6,1/2 - 1/2,1
10,1/2 - 1/2,9
8,0 - 1,5
7,1/2 - 1/2,4
7,1/2 - 1/2,2
4,1 - 0,8
5,1/2 - 1/2,10
9,1/2 - 1/2,6
1,1/2 - 1/2,3
2,1/2 - 1/2,1
3,1/2 - 1/2,9
6,1/2 - 1/2,5
10,1/2 - 1/2,4
8,1/2 - 1/2,7
8,1/2 - 1/2,2
7,1/2 - 1/2,10
4,1 - 0,6
5,1/2 - 1/2,3
9,1/2 - 1/2,1
2,1/2 - 1/2,9
1,1/2 - 1/2,5
3,1/2 - 1/2,4
6,1/2 - 1/2,7
10,1/2 - 1/2,8
10,1/2 - 1/2,2
8,1/2 - 1/2,6
7,1/2 - 1/2,3
4,1/2 - 1/2,1
5,1/2 - 1/2,9
2,1 - 0,5
9,1/2 - 1/2,4
1,1/2 - 1/2,7
3,1 - 0,8
6,1/2 - 1/2,10
