10,9,
1,1 - 0,7
2,1/2 - 1/2,4
5,1 - 0,9
8,1/2 - 1/2,3
10,1/2 - 1/2,6
3,1 - 0,9
4,1/2 - 1/2,5
6,0 - 1,2
7,1 - 0,10
8,1/2 - 1/2,1
1,1/2 - 1/2,3
2,1/2 - 1/2,7
5,1/2 - 1/2,6
9,1/2 - 1/2,4
10,1/2 - 1/2,8
1,1/2 - 1/2,10
3,1/2 - 1/2,4
6,1/2 - 1/2,9
7,1/2 - 1/2,5
8,1/2 - 1/2,2
2,1/2 - 1/2,1
4,1/2 - 1/2,6
5,1 - 0,8
9,1/2 - 1/2,7
10,1/2 - 1/2,3
1,1 - 0,5
3,0 - 1,6
7,1/2 - 1/2,4
8,1 - 0,9
10,1/2 - 1/2,2
2,1/2 - 1/2,3
4,1/2 - 1/2,8
5,1/2 - 1/2,10
6,1/2 - 1/2,7
9,1/2 - 1/2,1
1,1/2 - 1/2,4
2,1/2 - 1/2,5
3,1 - 0,7
8,1/2 - 1/2,6
10,0 - 1,9
4,1 - 0,10
5,1/2 - 1/2,3
6,1/2 - 1/2,1
7,1 - 0,8
9,1/2 - 1/2,2
