732207,20040918,     1, -1,  27,     6,  1,  10
732214,20040925,     7,  1,  49,     1, -1,  35
732220,20041001,     7, -1,  28,     4,  1,   7
732221,20041002,     2, -1,  31,     3,  1,  21
732227,20041008,     6, -1,  24,     2,  1,  20
732228,20041009,     1,  1,  28,     4, -1,  23
732228,20041009,     8,  1,  20,     5, -1,  10
732235,20041016,     2,  1,  24,     8, -1,  13
732235,20041016,     3, -1,  21,     5,  1,  17
732235,20041016,     4, -1,  24,     6,  1,  20
732241,20041022,     3,  1,  30,     8, -1,   7
732242,20041023,     2, -1,  41,     1,  1,  24
732242,20041023,     4,  1,  19,     5, -1,   9
732242,20041023,     7,  1,  63,     6, -1,  28
732249,20041030,     4, -1,  26,     3,  1,  17
732249,20041030,     7, -1,  51,     5,  1,  28
732249,20041030,     8,  1,  43,     1, -1,  26
732256,20041106,     2,  1,  49,     5, -1,  16
732256,20041106,     8, -1,  53,     6,  1,  45
732256,20041106,     7,  1,  63,     3, -1,  31
732263,20041113,     5, -1,  37,     1,  1,  31
732263,20041113,     4, -1,  21,     2,  1,  14
732263,20041113,     3,  1,  45,     6, -1,  10
732263,20041113,     7, -1,  45,     8,  1,  28
732270,20041120,     1,  1,  47,     3, -1,  17
732270,20041120,     4,  1,  16,     8, -1,   9
732270,20041120,     5,  1,  21,     6, -1,   3
732270,20041120,     7,  1,  52,     2, -1,  21
