734748,20110903,     3, -1,  14,     4,  1,  10
734755,20110910,     6, -1,  35,     1,  1,  19
734783,20111008,     6, -1,  27,     5,  1,  14
734788,20111013,     5, -1,  41,     1,  1,  27
734790,20111015,     2, -1,  63,     3,  1,  13
734790,20111015,     8,  1,  41,     7, -1,  14
734797,20111022,     2,  1,  37,     1, -1,  26
734797,20111022,     6,  1,  69,     4, -1,   0
734804,20111029,     7,  1,  38,     3, -1,  35
734804,20111029,     1, -1,  42,     4,  1,   0
734804,20111029,     8, -1,  30,     5,  1,  27
734811,20111105,     6, -1,  31,     8,  1,  20
734811,20111105,     2, -1,  48,     7,  1,  21
734811,20111105,     5,  1,  35,     4, -1,   7
734818,20111112,     8, -1,  25,     1,  1,  17
734818,20111112,     5, -1,  18,     3,  1,  15
734818,20111112,     6, -1,  36,     2,  1,  35
734818,20111112,     4,  1,  21,     7, -1,  14
734825,20111119,     1,  1,  45,     7, -1,  17
734825,20111119,     8,  1,  31,     4, -1,  10
734825,20111119,     2, -1,  52,     5,  1,  35
734825,20111119,     6,  1,  34,     3, -1,  10
734832,20111126,     5, -1,  31,     7,  1,  14
734832,20111126,     2,  1,  36,     8, -1,  14
734832,20111126,     1, -1,  45,     3,  1,  21
734839,20111203,     8, -1,  22,     3,  1,  19
734839,20111203,     2,  1,  45,     4, -1,   0
734839,20111203,     6,  1,  56,     7, -1,   9
