731822,20030830,     3, -1,  37,     7,  1,   0
731822,20030830,     8,  1,  27,     2, -1,   0
731829,20030906,     3,  1,  35,     5, -1,  10
731829,20030906,     9,  1,  38,     6, -1,  24
731836,20030913,     3,  1,  14,     4, -1,  13
731843,20030920,     1, -1,  39,     4,  1,   3
731850,20030927,     3, -1,  56,     2,  1,   7
731850,20030927,     6,  1,  47,     7, -1,  34
731850,20030927,     8,  1,  27,     9, -1,  24
731857,20031004,     4,  1,  29,     6, -1,  21
731857,20031004,     5,  1,  21,     1, -1,   7
731857,20031004,     8, -1,  38,     7,  1,  13
731864,20031011,     1,  1,  30,     8, -1,  27
731864,20031011,     4, -1,  24,     9,  1,   7
731864,20031011,     5,  1,  33,     2, -1,  20
731869,20031016,     6,  1,  17,     1, -1,  15
731871,20031018,     3, -1,  19,     8,  1,  14
731871,20031018,     9, -1,  42,     2,  1,  13
731876,20031023,     4,  1,   7,     5, -1,   3
731878,20031025,     1,  1,  36,     7, -1,  28
731878,20031025,     3,  1,  48,     9, -1,  24
731878,20031025,     6, -1,  28,     2,  1,  21
731885,20031101,     5,  1,  59,     7, -1,  21
731885,20031101,     6,  1,  51,     8, -1,  37
731885,20031101,     9,  1,  45,     1, -1,  17
731892,20031108,     1,  1,  26,     3, -1,  10
731892,20031108,     2,  1,  41,     4, -1,  17
731892,20031108,     7,  1,  42,     9, -1,  34
731897,20031113,     5,  1,  27,     8, -1,  17
731899,20031115,     1,  1,  40,     2, -1,   7
731899,20031115,     3,  1,  50,     6, -1,  44
731899,20031115,     4,  1,  41,     7, -1,  24
731906,20031122,     2, -1,  30,     7,  1,  22
731906,20031122,     5, -1,  26,     6,  1,  24
731906,20031122,     8,  1,  29,     4, -1,  17
731913,20031129,     5, -1,  41,     9,  1,  28
