731458,20020831,     3,  1,  40,     8, -1,  19
731472,20020914,     1,  1,  24,     4, -1,  19
731472,20020914,     3, -1,  37,     5,  1,  10
731472,20020914,     6,  1,  32,     9, -1,  13
731479,20020921,     3,  1,  48,     2, -1,  17
731486,20020928,     4, -1,  21,     7,  1,  13
731486,20020928,     8, -1,  38,     9,  1,  34
731491,20021003,     3,  1,  48,     1, -1,  31
731493,20021005,     8, -1,  27,     2,  1,  22
731493,20021005,     9, -1,  24,     4,  1,  21
731500,20021012,     6, -1,  34,     7,  1,  17
731500,20021012,     8,  1,  22,     1, -1,  17
731500,20021012,     9,  1,  36,     2, -1,  10
731505,20021017,     5,  1,  34,     4, -1,  10
731507,20021019,     1,  1,  31,     9, -1,  23
731507,20021019,     6,  1,  24,     2, -1,  22
731507,20021019,     8,  1,  37,     7, -1,  27
731512,20021024,     6, -1,  38,     1,  1,   6
731514,20021026,     4,  1,  23,     8, -1,  15
731514,20021026,     5, -1,  45,     2,  1,  12
731514,20021026,     9,  1,  31,     7, -1,   0
731521,20021102,     1, -1,  34,     2,  1,  31
731521,20021102,     3, -1,  34,     9,  1,  21
731521,20021102,     4, -1,  24,     6,  1,  17
731521,20021102,     5, -1,  59,     7,  1,   7
731528,20021109,     1, -1,  42,     7,  1,  12
731528,20021109,     3, -1,  21,     4,  1,  13
731528,20021109,     5,  1,  24,     6, -1,  21
731535,20021116,     3,  1,  40,     7, -1,  14
731535,20021116,     4,  1,  17,     2, -1,   2
731535,20021116,     5, -1,  30,     1,  1,  12
731535,20021116,     8,  1,  14,     6, -1,   9
731542,20021123,     7, -1,  23,     2,  1,  21
731542,20021123,     6,  1,  17,     3, -1,   7
731542,20021123,     8,  1,  48,     5, -1,  13
731549,20021130,     5,  1,  32,     9, -1,  14
